number,name,status
PEP 1,PEP Purpose and Guidelines,Active
PEP 2,Procedure for Adding New Modules,Active
PEP 11,CPython platform support,Active
PEP 10,Voting Guidelines,Active
PEP 8,Style Guide for Python Code,Active
PEP 5,Guidelines for Language Evolution,Active
PEP 9,Sample Plaintext PEP Template,Withdrawn
PEP 7,Style Guide for C Code,Active
PEP 42,Feature Requests,Withdrawn
PEP 6,Bug Fix Releases,Active
PEP 3,Guidelines for Handling Bug Reports,Withdrawn
PEP 20,The Zen of Python,Active
PEP 4,Deprecation of Standard Modules,Active
PEP 12,Sample reStructuredText PEP Template,Active
PEP 13,Python Language Governance,Active
PEP 202,List Comprehensions,Final
PEP 472,Support for indexing with keyword arguments,Rejected
PEP 477,Backport ensurepip (PEP 453) to Python 2.7,Final
PEP 501,General purpose string interpolation,Deferred
PEP 470,Removing External Hosting Support on PyPI,Final
PEP 497,A standard mechanism for backward compatibility,Rejected
PEP 469,Migration of dict iteration code to Python 3,Withdrawn
PEP 471,os.scandir() function – a better and faster directory iterator,Final
PEP 508,Dependency specification for Python Software Packages,Final
PEP 509,Add a private version to dict,Final
PEP 520,Preserving Class Attribute Definition Order,Final
PEP 511,API for code transformers,Rejected
PEP 512,Migrating from hg.python.org to GitHub,Final
PEP 514,Python registration in the Windows registry,Active
PEP 513,A Platform Tag for Portable Linux Built Distributions,Superseded
PEP 507,Migrate CPython to Git and GitLab,Rejected
PEP 536,Final Grammar for Literal String Interpolation,Deferred
PEP 679,Allow parentheses in assert statements,Draft
PEP 3107,Function Annotations,Final
PEP 3106,"Revamping dict.keys(), .values() and .items()",Final
PEP 3116,New I/O,Final
PEP 3109,Raising Exceptions in Python 3000,Final
PEP 3110,Catching Exceptions in Python 3000,Final
PEP 3102,Keyword-Only Arguments,Final
PEP 3108,Standard Library Reorganization,Final
PEP 3121,Extension Module Initialization and Finalization,Accepted
PEP 3125,Remove Backslash Continuation,Rejected
PEP 3120,Using UTF-8 as the default source encoding,Final
PEP 3122,Delineation of the main module,Rejected
PEP 3123,Making PyObject_HEAD conform to standard C,Final
PEP 3119,Introducing Abstract Base Classes,Final
PEP 3124,"Overloading, Generic Functions, Interfaces, and Adaptation",Deferred
PEP 3140,"str(container) should call str(item), not repr(item)",Rejected
PEP 8104,2023 Term Steering Council election,Active
PEP 8103,2022 Term steering council election,Active
PEP 8100,January 2019 steering council election,Active
PEP 8015,Organization of the Python community,Rejected
PEP 8016,The Steering Council Model,Accepted
PEP 8014,The Commons Governance Model,Rejected
PEP 8102,2021 Term steering council election,Active
PEP 8101,2020 Term steering council election,Active
PEP 8013,The External Council Governance Model,Rejected
PEP 8012,The Community Governance Model,Rejected
PEP 8000,Python Language Governance Proposal Overview,Active
PEP 8001,Python Governance Voting Process,Final
PEP 8002,Open Source Governance Survey,Active
PEP 8010,The Technical Leader Governance Model,Rejected
